"""company""","""creation_date""","""approve_date""","""closed_date""","""po_no""","""po_status""","""line_num""","""line_type""","""item_number""","""item_description""","""inventory_type""","""main_category""","""group_category""","""sub_group_category""","""sub_sub_group_category""","""uom""","""buyer_name""","""vendor_no""","""vendor_name""","""payment_term""","""vendor_site_code""","""closed_code""","""header_cancel""","""line_cancel""","""quantity_received""","""quantity_accepted""","""quantity_rejected""","""quantity_cancelled""","""currency_code""","""rate""","""quantity""","""unit_price""","""amount""","""amount_egp"""
EGYLUX,2019-06-24 00:00:00,2019-07-10 00:00:00,2019-08-05 12:31:02,190378,Approved,3,Goods,4060203014,"Oil, SHC 630",Lubricants,Lubricants,Lubricants,Lubricant & Grease,,Litre,Buyer_04,9025,Vendor_141,,Site_078,CLOSED,Valid,Valid,200,200,0,0,EGP,1,200,221,44200,44200
EGYLUX,2019-06-24 00:00:00,2019-07-10 00:00:00,2019-08-05 12:31:02,190378,Approved,4,Goods,4060103022,"Grease, Mobilux EP 2",Lubricants,Lubricants,Lubricants,Lubricant & Grease,,Kilogram,Buyer_04,9025,Vendor_141,,Site_078,CLOSED,Valid,Valid,720,720,0,0,EGP,1,720,59,42480,42480
EMAS,2019-06-24 00:00:00,,,190379,Rejected,1,Goods,3131105223,"Speed monitor, rotational, MS24-112-R20-250, voltage supply 20-250 VAC, for bucket elevator, supplier TURCK.    ",Spare parts,Electrical items,Instrumentation,S-P,,Each,Buyer_04,9057,Vendor_006,,Site_022,OPEN,Valid,Valid,0,0,0,0,EUR,18.7949,3,1320,3960,74427.8
EMAS,2019-06-24 00:00:00,,,190379,Rejected,2,Goods,3131105220,"Switch, inductive proximity switch, type BIM-G18-Y1/S92, length 70mm, for bucket elevator, supplier TURCK BANNER.",Spare parts,Electrical items,Instrumentation,S-P,,Each,Buyer_04,9057,Vendor_006,,Site_022,OPEN,Valid,Valid,0,0,0,0,EUR,18.7949,3,582.8,1748.4,32861
EMAS,2019-06-24 00:00:00,2019-07-30 00:00:00,2019-10-15 14:39:15,190380,Approved,1,Goods,4080100194,"Electrode, welding, stainless steel, AWS A5.4-81, E 310-15, 3.25 mm wire diameter",Spare parts,Mechanical items,Welding materials,Stainless welding electrodes.,,Kilogram,Buyer_05,9035,Vendor_137,14 days,Site_066,CLOSED,Valid,Valid,25,25,0,0,EGP,1,25,335,8375,8375
EGYLUX,2019-06-24 00:00:00,2019-07-02 00:00:00,2019-07-17 12:09:30,190381,Approved,1,Capex,,New Hard  1 tera Western internal,,,,Hard desk for Laptop,,Each,Buyer_07,9161,Vendor_071,30 days,Site_053,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,890,890,890
EGYLUX,2019-06-20 00:00:00,2019-07-10 00:00:00,2019-08-22 16:29:30,190376,Approved,1,Goods,3060202056,"Kit, maintenance, 16000 h, part no. 2906098600, manufacture Atlas copco, for air compressor type GA 132W- 8,5 and type GA 110W- 8,5",Spare parts,Mechanical items,mechanical items for utilities area (700),Service kits for atlas copco compressors.,,Each,Buyer_01,9022,Vendor_023,30 days,Site_058,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,70000,140000,140000
ESCC,2019-06-20 00:00:00,2019-07-02 00:00:00,2020-11-30 12:45:42,190377,Approved,1,Capex,,SolidWork 2016 / Workshop CNC,,,,Solid work license,,Each,Buyer_07,9165,Vendor_146,,Site_015,CLOSED,Valid,Valid,1,1,0,0,USD,16.8564,1,4110,4110,69279.8
ESCC,2019-06-19 00:00:00,2019-06-26 00:00:00,2019-07-09 14:47:34,190375,Approved,1,Capex,,Printer LaserJet 4015n ( Fuser & chssis )/ Maintenance,,,,Supply spare parts,,Each,Buyer_07,9149,Vendor_119,Immediate,Site_017,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,2650,2650,2650
EGYLUX,2019-06-19 00:00:00,2019-06-26 00:00:00,2019-07-09 14:47:34,190375,Approved,2,Capex,,Printer laserJet 4015n ( Maintenance Kit ) / Maintenance,,,,Supply spare parts,,Each,Buyer_07,9149,Vendor_119,Immediate,Site_017,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,2950,2950,2950
EMAS,2019-06-18 00:00:00,2019-07-30 00:00:00,2019-11-12 10:38:14,190374,Approved,1,Goods,3059910233,"Housing, bearing,ESCC dwg.no. 0001779, material Aluminum,  for automatic checkweighers VENTOCHECK",Spare parts,Mechanical items,mechanical items for cement storage and dispatch area (600),Bearing housing.,,Each,Buyer_05,9093,Vendor_088,14 days,Site_064,CLOSED,Valid,Valid,4,4,0,0,EGP,1,4,1750,7000,7000
EMAS,2019-06-17 00:00:00,2019-08-22 00:00:00,,190372,Approved,1,Direct,,"Timer, Manufacturer: Finder, type: 8702 0 240 0000, 0.05 S to 60 h",,,,Timer,,Each,Buyer_06,9065,Vendor_128,Immediate,Site_061,OPEN,Valid,Valid,0,0,0,0,EGP,1,2,650,1300,1300
ESCC,2019-06-17 00:00:00,2019-07-03 00:00:00,2019-07-16 12:09:25,190373,Approved,1,Goods,4100504954,"Snap Lock, plastic for cement bulk",Spare parts,Workshop material,Workshop material,Snap Lock,,Each,Buyer_03,9102,Vendor_108,14 days,Site_061,CLOSED,Valid,Valid,12000,12000,0,0,EGP,1,12000,1.8,21600,21600
EGYLUX,2019-06-16 00:00:00,2019-06-19 00:00:00,2019-07-16 12:07:45,190371,Approved,1,Capex,,"Lenovo V520 TWR Intel? Core? i5-7500 Processor (6M Cache, 3 GHz) 8GB (2*4GB) DDR4-2400 1TB 7200 RPM Intel? Integrated Graphics DOS DVD+/-RW Drive 1Year Carry-in (Parallel Port, Serial Port, Internal Speaker)",,,,New Desktops,,Each,Buyer_07,9038,Vendor_003,30 days,Site_019,CLOSED,Valid,Valid,4,4,0,0,EGP,1,4,8157.89,32631.56,32631.56
ESCC,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-09 14:51:21,190367,Approved,1,Capex,, ( board battery ( BIOS,,,,Accessories,,Each,Buyer_07,9113,Vendor_079,30 days,Site_008,CLOSED,Valid,Valid,8,8,0,0,EGP,1,8,6.14,49.12,49.12
ESCC,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-09 14:51:21,190367,Approved,2,Capex,,CD Packet 50,,,,Accessories,,Each,Buyer_07,9113,Vendor_079,30 days,Site_008,CLOSED,Valid,Valid,1,0,1,0,EGP,1,1,114.03,114.03,114.03
ASF,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-09 14:51:21,190367,Approved,3,Capex,,DVD External,,,,Accessories,,Each,Buyer_07,9113,Vendor_079,30 days,Site_008,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,416.66,833.32,833.32
ASF,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-09 14:51:21,190367,Approved,4,Capex,,DVD Packet,,,,Accessories,,Each,Buyer_07,9113,Vendor_079,30 days,Site_008,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,131.57,131.57,131.57
ASF,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-09 14:51:21,190367,Approved,5,Capex,,Flash Memory 32 Giga,,,,Accessories,,Each,Buyer_07,9113,Vendor_079,30 days,Site_008,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,96.49,192.98,192.98
EMAS,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-09 14:51:21,190367,Approved,6,Capex,,Hard Disk 1 Tera External,,,,Accessories,,Each,Buyer_07,9113,Vendor_079,30 days,Site_008,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,833.33,833.33,833.33
EGYLUX,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-09 14:51:21,190367,Approved,7,Capex,,Plower,,,,Accessories,,Each,Buyer_07,9113,Vendor_079,30 days,Site_008,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,157.89,157.89,157.89
EGYLUX,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-09 14:51:21,190367,Approved,8,Capex,,Power Cable for desktop,,,,Accessories,,Each,Buyer_07,9113,Vendor_079,30 days,Site_008,CLOSED,Valid,Valid,3,3,0,0,EGP,1,3,13.15,39.45,39.45
EGYLUX,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-09 14:51:45,190368,Approved,1,Capex,,35A,,,,Toner,,Each,Buyer_07,9113,Vendor_079,30 days,Site_008,CLOSED,Valid,Valid,8,8,0,0,EGP,1,8,87.71,701.68,701.68
EGYLUX,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-09 14:51:45,190368,Approved,2,Capex,,64A,,,,Toner,,Each,Buyer_07,9113,Vendor_079,30 days,Site_008,CLOSED,Valid,Valid,15,15,0,0,EGP,1,15,307.01,4605.15,4605.15
ASF,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-09 14:51:45,190368,Approved,3,Capex,,78A,,,,Toner,,Each,Buyer_07,9113,Vendor_079,30 days,Site_008,CLOSED,Valid,Valid,6,6,0,0,EGP,1,6,87.71,526.26,526.26
EMAS,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-09 14:51:45,190368,Approved,4,Capex,,83A,,,,Toner,,Each,Buyer_07,9113,Vendor_079,30 days,Site_008,CLOSED,Valid,Valid,3,3,0,0,EGP,1,3,87.71,263.13,263.13
EMAS,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-09 14:51:45,190368,Approved,5,Capex,,85A,,,,Toner,,Each,Buyer_07,9113,Vendor_079,30 days,Site_008,CLOSED,Valid,Valid,3,3,0,0,EGP,1,3,87.71,263.13,263.13
ASF,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-04 12:01:25,190369,Approved,1,Capex,,maintenance for 2 printer 4015,,,,supply spare parts,,Each,Buyer_07,9149,Vendor_119,30 days,Site_017,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,2400,4800,4800
EMAS,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-18 14:16:38,190370,Approved,1,Capex,,05A,,,,Toner,,Each,Buyer_07,9168,Vendor_148,30 days,Site_066,CLOSED,Valid,Valid,15,15,0,0,EGP,1,15,87.71,1315.65,1315.65
ASF,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-18 14:16:38,190370,Approved,2,Capex,,17A,,,,Toner,,Each,Buyer_07,9168,Vendor_148,30 days,Site_066,CLOSED,Valid,Valid,6,6,0,0,EGP,1,6,302.63,1815.78,1815.78
EGYLUX,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-18 14:16:38,190370,Approved,3,Capex,,19A,,,,Toner,,Each,Buyer_07,9168,Vendor_148,30 days,Site_066,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,464.91,929.82,929.82
ASF,2019-06-13 00:00:00,2019-06-19 00:00:00,2019-07-18 14:16:38,190370,Approved,4,Capex,,81A,,,,Toner,,Each,Buyer_07,9168,Vendor_148,30 days,Site_066,CLOSED,Valid,Valid,12,12,0,0,EGP,1,12,412.28,4947.36,4947.36
EGYLUX,2019-06-12 00:00:00,2019-08-22 00:00:00,2020-02-06 14:46:02,190359,Approved,1,Goods,3021300973,"Sleeve, withdrawal ,AOH3164 G",Spare parts,Bearings,Bearings,Bearing for rotor of limestone crusher.,,Each,Buyer_01,9034,Vendor_064,30 days,Site_045,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,20500,20500,20500
EGYLUX,2019-06-12 00:00:00,2019-08-22 00:00:00,2020-02-06 14:46:02,190359,Approved,2,Goods,3020900828,"Bearing, 23164 CCK/W33/C3",Spare parts,Bearings,Bearings,Bearing for rotor of limestone crusher.,,Each,Buyer_01,9034,Vendor_064,30 days,Site_045,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,68000,68000,68000
ESCC,2019-06-12 00:00:00,2019-07-30 00:00:00,2019-10-15 15:16:37,190360,Approved,1,Goods,3010901044,"Seal, for bearing housing, TSN 524 G",Spare parts,Bearings,Bearings,Bearing PR.,,Each,Buyer_01,9034,Vendor_064,30 days,Site_045,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,290,580,580
ASF,2019-06-12 00:00:00,2019-07-30 00:00:00,2019-10-15 15:16:37,190360,Approved,2,Goods,3010901045,"Seal, for bearing housing, TSN 532 G",Spare parts,Bearings,Bearings,Bearing PR.,,Each,Buyer_01,9034,Vendor_064,30 days,Site_045,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,490,980,980
ESCC,2019-06-12 00:00:00,2019-07-30 00:00:00,2019-10-15 15:16:37,190360,Approved,3,Goods,3020409395,"Bearing, 6311 C3",Spare parts,Bearings,Bearings,Bearing PR.,,Each,Buyer_01,9034,Vendor_064,30 days,Site_045,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,330,660,660
ASF,2019-06-12 00:00:00,2019-07-03 00:00:00,2025-01-12 22:07:47,190361,Approved,1,Goods,3020106231,"Bearing, 3309 C3",Spare parts,Bearings,Bearings,Bearing PR.,,Each,Buyer_01,9036,Vendor_084,30 days,Site_061,CLOSED,Valid,Valid,6,6,0,0,EGP,1,6,980,5880,5880
ASF,2019-06-12 00:00:00,2019-07-03 00:00:00,2025-01-12 22:07:47,190361,Approved,2,Goods,3020411192,"Bearing, 6001 ZZ C3",Spare parts,Bearings,Bearings,Bearing PR.,,Each,Buyer_01,9036,Vendor_084,30 days,Site_061,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,27,54,54
ESCC,2019-06-12 00:00:00,2019-07-30 00:00:00,2020-02-27 11:29:44,190362,Approved,1,Goods,3020800776,"Bearing, 2205 E",Spare parts,Bearings,Bearings,Bearing PR.,,Each,Buyer_01,9036,Vendor_084,30 days,Site_061,CLOSED,Valid,Valid,10,10,0,0,EGP,1,10,240,2400,2400
ESCC,2019-06-12 00:00:00,2019-07-30 00:00:00,2020-06-17 14:37:57,190363,Approved,1,Goods,3020402692,"Bearing, 6205 ZZ/C3",Spare parts,Bearings,Bearings,Bearing for disc mill of laboratory.,,Each,Buyer_01,9036,Vendor_084,30 days,Site_061,CLOSED,Valid,Valid,3,3,0,0,EGP,1,3,44,132,132
ASF,2019-06-12 00:00:00,2019-07-30 00:00:00,2020-06-17 14:37:57,190363,Approved,2,Goods,3020409702,"Bearing, 6305 ZZC3",Spare parts,Bearings,Bearings,Bearing for disc mill of laboratory.,,Each,Buyer_01,9036,Vendor_084,30 days,Site_061,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,60,120,120
EMAS,2019-06-12 00:00:00,2019-07-30 00:00:00,2020-06-17 14:37:57,190363,Approved,3,Direct,,"Bearing, NUTR15",,,,Bearing for disc mill of laboratory.,,Each,Buyer_01,9036,Vendor_084,30 days,Site_061,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,365,730,730
EGYLUX,2019-06-12 00:00:00,2019-07-30 00:00:00,2020-04-08 12:19:00,190364,Approved,1,Direct,,"Bearing, NJ 2309 E M1 C3, (ECP/C3)",,,,Bearing for disc mill of laboratory.,,Each,Buyer_01,9079,Vendor_111,30 days,Site_046,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,1087,2174,2174
ESCC,2019-06-12 00:00:00,2019-07-30 00:00:00,2019-10-15 15:14:17,190365,Approved,1,Direct,,"Bearing, 6211 2RS C3",,,,Bearing for disc mill of laboratory.,,Each,Buyer_01,9034,Vendor_064,30 days,Site_045,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,215,430,430
EGYLUX,2019-06-12 00:00:00,2019-07-30 00:00:00,2020-02-27 11:30:31,190366,Approved,1,Goods,3020900818,"Bearing, 23030 CC/W33",Spare parts,Bearings,Bearings,Bearing for stacker.,,Each,Buyer_01,9036,Vendor_084,30 days,Site_061,CLOSED,Valid,Valid,6,6,0,0,EGP,1,6,5150,30900,30900
EMAS,2019-06-12 00:00:00,2019-07-30 00:00:00,2020-02-27 11:30:31,190366,Approved,2,Goods,3020900789,"Bearing, 22218 CC",Spare parts,Bearings,Bearings,Bearing for stacker.,,Each,Buyer_01,9036,Vendor_084,30 days,Site_061,CLOSED,Valid,Valid,6,6,0,0,EGP,1,6,1860,11160,11160
EMAS,2019-06-11 00:00:00,2019-08-06 00:00:00,2019-08-22 16:09:25,190353,Approved,1,Direct,,Non-return valve 1/2 X 3/8,,,,Non-return valve,,Each,Buyer_03,9090,Vendor_077,Immediate,Site_073,CLOSED,Valid,Valid,5,5,0,0,EGP,1,5,189.47,947.35,947.35
EMAS,2019-06-11 00:00:00,2019-07-03 00:00:00,2020-02-02 17:05:19,190355,Approved,1,Goods,3051702948,"Joint head,  dwg. No. 1.109714, SPL 50030495, item no. 07.04.01.03, for tensioning rod assembly",Spare parts,Mechanical items,mechanical items for raw meal production area (300),Joint Head,,Each,Buyer_04,9057,Vendor_006,,Site_022,CLOSED,Valid,Valid,2,2,0,0,EUR,18.7949,2,14694,29388,552344.52
ESCC,2019-06-11 00:00:00,2019-07-03 00:00:00,2020-02-02 17:05:19,190355,Approved,2,Goods,3051709821,"Joint head, dwg. No. 2.205423, SPL 50067119, item no. 07.04.01.03, for tensioning rod assembly for Atox coal mill 25",Spare parts,Mechanical items,mechanical items for clinker production area (400),Joint Head,,Each,Buyer_04,9057,Vendor_006,,Site_022,CLOSED,Valid,Valid,1,1,0,0,EUR,18.7949,1,5323,5323,100045.25
EMAS,2019-06-11 00:00:00,2019-06-19 00:00:00,2019-07-15 12:17:30,190356,Approved,1,Goods,4040403647,"Wearguard, lower, dwg.no. 10204926, material VAUDET 100R, for modified wear protection for joint heat, for atox mill",Spare parts,Mechanical items,mechanical items for raw meal production area (300),Protection cover for Atox mill.,,Each,Buyer_05,9141,Vendor_060,14 days,Site_099,CLOSED,Valid,Valid,3,3,0,0,EGP,1,3,7290,21870,21870
ESCC,2019-06-11 00:00:00,2019-06-19 00:00:00,2019-07-15 12:17:30,190356,Approved,2,Goods,4040403648,"Wearguard, upper, dwg.no. 10204984, material VAUDET 100R, for modified wear protection for joint head, for atox mill",Spare parts,Mechanical items,mechanical items for raw meal production area (300),Protection cover for Atox mill.,,Each,Buyer_05,9141,Vendor_060,14 days,Site_099,CLOSED,Valid,Valid,3,3,0,0,EGP,1,3,4590,13770,13770
